KEGG_ko	Symbol	Name
ko:K02987	RP-S4e, RPS4	small subunit ribosomal protein S4e
ko:K02988	RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5
ko:K02989	RP-S5e, RPS5	small subunit ribosomal protein S5e
ko:K02990	RP-S6, MRPS6, rpsF	small subunit ribosomal protein S6
ko:K02991	RP-S6e, RPS6	small subunit ribosomal protein S6e
ko:K02992	RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7
ko:K02993	RP-S7e, RPS7	small subunit ribosomal protein S7e
ko:K02994	RP-S8, rpsH	small subunit ribosomal protein S8
ko:K02995	RP-S8e, RPS8	small subunit ribosomal protein S8e
ko:K02996	RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9
ko:K02997	RP-S9e, RPS9	small subunit ribosomal protein S9e
ko:K02998	RP-SAe, RPSA	small subunit ribosomal protein SAe
ko:K02999	RPA1, POLR1A	DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]
ko:K03000	RPA12, POLR1H, ZNRD1	DNA-directed RNA polymerase I subunit RPA12
ko:K03001	RPA14	DNA-directed RNA polymerase I subunit RPA14
ko:K03002	RPA2, POLR1B	DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]
ko:K03003	RPA34	DNA-directed RNA polymerase I subunit RPA34
ko:K03004	RPA43, POLR1F, TWISTNB	DNA-directed RNA polymerase I subunit RPA43
ko:K03005	RPA49, POLR1E	DNA-directed RNA polymerase I subunit RPA49
ko:K03006	RPB1, POLR2A	DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]
ko:K03007	RPABC5, RPB10, POLR2L	DNA-directed RNA polymerases I, II, and III subunit RPABC5
ko:K03008	RPB11, POLR2J	DNA-directed RNA polymerase II subunit RPB11
ko:K03009	RPABC4, RPB12, POLR2K	DNA-directed RNA polymerases I, II, and III subunit RPABC4
ko:K03010	RPB2, POLR2B	DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]
ko:K03011	RPB3, POLR2C	DNA-directed RNA polymerase II subunit RPB3
ko:K03012	RPB4, POLR2D	DNA-directed RNA polymerase II subunit RPB4
ko:K03013	RPABC1, RPB5, POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1
ko:K03014	RPABC2, RPB6, POLR2F	DNA-directed RNA polymerases I, II, and III subunit RPABC2
ko:K03015	RPB7, POLR2G	DNA-directed RNA polymerase II subunit RPB7
ko:K03016	RPABC3, RPB8, POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3
ko:K03017	RPB9, POLR2I	DNA-directed RNA polymerase II subunit RPB9
ko:K03018,ko:K21594		
ko:K03019	RPC11, POLR3K	DNA-directed RNA polymerase III subunit RPC11
ko:K03020	RPAC2, RPC19, POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2
ko:K03021	RPC2, POLR3B	DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]
ko:K03022	RPC8, POLR3H	DNA-directed RNA polymerase III subunit RPC8
ko:K03023	RPC3, POLR3C	DNA-directed RNA polymerase III subunit RPC3
ko:K03024	RPC7, POLR3G	DNA-directed RNA polymerase III subunit RPC7
ko:K03025	RPC6, POLR3F	DNA-directed RNA polymerase III subunit RPC6
ko:K03026	RPC4, POLR3D	DNA-directed RNA polymerase III subunit RPC4
ko:K03027	RPAC1, RPC40, POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1
ko:K03028	PSMD2, RPN1	26S proteasome regulatory subunit N1
ko:K03029	PSMD4, RPN10	26S proteasome regulatory subunit N10
ko:K03030	PSMD14, RPN11, POH1	26S proteasome regulatory subunit N11
ko:K03031	PSMD8, RPN12	26S proteasome regulatory subunit N12
ko:K03032	PSMD1, RPN2	26S proteasome regulatory subunit N2
ko:K03033,ko:K03126		
ko:K03034	RPN4	protein RPN4
ko:K03035	PSMD12, RPN5	26S proteasome regulatory subunit N5
ko:K03036	PSMD11, RPN6	26S proteasome regulatory subunit N6
ko:K03037	PSMD6, RPN7	26S proteasome regulatory subunit N7
ko:K03038	PSMD7, RPN8	26S proteasome regulatory subunit N8
ko:K03039	PSMD13, RPN9	26S proteasome regulatory subunit N9
ko:K03061	PSMC2, RPT1	26S proteasome regulatory subunit T1
ko:K03062	PSMC1, RPT2	26S proteasome regulatory subunit T2
ko:K03063	PSMC4, RPT3	26S proteasome regulatory subunit T3
ko:K03064	PSMC6, RPT4	26S proteasome regulatory subunit T4
ko:K03065	PSMC3, RPT5	26S proteasome regulatory subunit T5
ko:K03066	PSMC5, RPT6	26S proteasome regulatory subunit T6
ko:K03083,ko:K08282,ko:K12766		
ko:K03083,ko:K08286,ko:K08822,ko:K22009		
ko:K03083,ko:K12766		
ko:K03085	SIC1	substrate and inhibitor of the cyclin-dependent protein kinase CDC28
ko:K03094	SKP1, CBF3D	S-phase kinase-associated protein 1
ko:K03097	CSNK2A	casein kinase II subunit alpha [EC:2.7.11.1]
ko:K03099	SOS	son of sevenless
ko:K03104	SRP14	signal recognition particle subunit SRP14
ko:K03105	SRP19	signal recognition particle subunit SRP19
ko:K03106	SRP54, ffh	signal recognition particle subunit SRP54 [EC:3.6.5.4]
ko:K03107	SRP68	signal recognition particle subunit SRP68
ko:K03108	SRP72	signal recognition particle subunit SRP72
ko:K03113	EIF1, SUI1	translation initiation factor 1
ko:K03114	SWE1	mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]
ko:K03115	CSNK2B	casein kinase II subunit beta
ko:K03116	tatA	sec-independent protein translocase protein TatA
ko:K03119,ko:K19245		
ko:K03120	TBP, tbp	transcription initiation factor TFIID TATA-box-binding protein
ko:K03122	TFIIA1, GTF2A1, TOA1	transcription initiation factor TFIIA large subunit
ko:K03123	TFIIA2, GTF2A2, TOA2	transcription initiation factor TFIIA small subunit
ko:K03124	TFIIB, GTF2B, SUA7, tfb	transcription initiation factor TFIIB
ko:K03125	TAF1	transcription initiation factor TFIID subunit 1 [EC:2.3.1.48 2.7.11.1]
ko:K03126	TAF12	transcription initiation factor TFIID subunit 12
ko:K03127	TAF13	transcription initiation factor TFIID subunit 13
ko:K03128	TAF2	transcription initiation factor TFIID subunit 2
ko:K03130	TAF5	transcription initiation factor TFIID subunit 5
ko:K03131	TAF6	transcription initiation factor TFIID subunit 6
ko:K03132	TAF7	transcription initiation factor TFIID subunit 7
ko:K03133	TAF9B, TAF9	transcription initiation factor TFIID subunit 9B
ko:K03134	TAF10	transcription initiation factor TFIID subunit 10
ko:K03135	TAF11	transcription initiation factor TFIID subunit 11
ko:K03136	TFIIE1, GTF2E1, TFA1, tfe	transcription initiation factor TFIIE subunit alpha
ko:K03137	TFIIE2, GTF2E2, TFA2	transcription initiation factor TFIIE subunit beta
ko:K03138	TFIIF1, GTF2F1, TFG1	transcription initiation factor TFIIF subunit alpha
ko:K03139	TFIIF2, GTF2F2, TFG2	transcription initiation factor TFIIF subunit beta [EC:5.6.2.-]
ko:K03140,ko:K11403		
ko:K03140,ko:K15306		
ko:K03141	TFIIH1, GTF2H1, TFB1	transcription initiation factor TFIIH subunit 1
ko:K03142	TFIIH2, GTF2H2, SSL1	transcription initiation factor TFIIH subunit 2
ko:K03143	TFIIH3, GTF2H3, TFB4	transcription initiation factor TFIIH subunit 3
ko:K03144	TFIIH4, GTF2H4, TFB2	transcription initiation factor TFIIH subunit 4
ko:K03145	TFIIS	transcription elongation factor S-II
ko:K03146	THI4, THI1	cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60]
ko:K03163	TOP1	DNA topoisomerase I [EC:5.6.2.1]
ko:K03164	TOP2	DNA topoisomerase II [EC:5.6.2.2]
ko:K03165	TOP3	DNA topoisomerase III [EC:5.6.2.1]
ko:K03177	truB, PUS4, TRUB1	tRNA pseudouridine55 synthase [EC:5.4.99.25]
ko:K03178	UBE1, UBA1	ubiquitin-activating enzyme E1 [EC:6.2.1.45]
ko:K03186	ubiX, bsdB, PAD1	flavin prenyltransferase [EC:2.5.1.129]
ko:K03217	yidC, spoIIIJ, OXA1, ccfA	YidC/Oxa1 family membrane protein insertase
ko:K03218,ko:K15507		
ko:K03231	EEF1A	elongation factor 1-alpha
ko:K03232	EEF1B	elongation factor 1-beta
ko:K03233	EEF1G	elongation factor 1-gamma
ko:K03234	EEF2	elongation factor 2
ko:K03235	EF3, TEF3	elongation factor 3
ko:K03236	EIF1A	translation initiation factor 1A
ko:K03237	EIF2S1	translation initiation factor 2 subunit 1
ko:K03238	EIF2S2	translation initiation factor 2 subunit 2
ko:K03239	EIF2B1	translation initiation factor eIF-2B subunit alpha
ko:K03240	EIF2B5	translation initiation factor eIF-2B subunit epsilon
ko:K03241	EIF2B3	translation initiation factor eIF-2B subunit gamma
ko:K03242	EIF2S3	translation initiation factor 2 subunit 3
ko:K03243	EIF5B	translation initiation factor 5B
ko:K03245	EIF3J	translation initiation factor 3 subunit J
ko:K03246	EIF3I	translation initiation factor 3 subunit I
ko:K03248,ko:K20304		
ko:K03251,ko:K15340		
ko:K03252	EIF3C	translation initiation factor 3 subunit C
ko:K03253	EIF3B	translation initiation factor 3 subunit B
ko:K03254	EIF3A	translation initiation factor 3 subunit A
ko:K03255	TIF31, CLU1	protein TIF31
ko:K03256	TRM6, GCD10	tRNA (adenine58-N1)-methyltransferase non-catalytic subunit
ko:K03257	EIF4A	translation initiation factor 4A
ko:K03258	EIF4B	translation initiation factor 4B
ko:K03259	EIF4E	translation initiation factor 4E
ko:K03260	EIF4G	translation initiation factor 4G
ko:K03261	CAF20	cap-associated protein CAF20
ko:K03262	EIF5	translation initiation factor 5
ko:K03263	EIF5A	translation initiation factor 5A
ko:K03264	EIF6	translation initiation factor 6
ko:K03265	ETF1, ERF1	peptide chain release factor subunit 1
ko:K03267	ERF3, GSPT	peptide chain release factor subunit 3
ko:K03283	HSPA1s	heat shock 70kDa protein 1/2/6/8
ko:K03293	TC.AAT	amino acid transporter, AAT family
ko:K03293,ko:K16261		
ko:K03305	TC.POT	proton-dependent oligopeptide transporter, POT family
ko:K03316	TC.CPA1	monovalent cation:H+ antiporter, CPA1 family
ko:K03320	amt, AMT, MEP	ammonium transporter, Amt family
ko:K03321	TC.SULP	sulfate permease, SulP family
ko:K03325	ACR3, arsB	arsenite transporter
ko:K03327	TC.MATE, SLC47A, norM, mdtK, dinF	multidrug resistance protein, MATE family
ko:K03347	CUL1, CDC53	cullin 1
ko:K03348	APC1, ANAPC1	anaphase-promoting complex subunit 1
ko:K03349	APC2, ANAPC2	anaphase-promoting complex subunit 2
ko:K03350	APC3, CDC27	anaphase-promoting complex subunit 3
ko:K03351	APC4, ANAPC4	anaphase-promoting complex subunit 4
ko:K03352	APC5, ANAPC5	anaphase-promoting complex subunit 5
ko:K03353	APC6, CDC16	anaphase-promoting complex subunit 6
ko:K03355	APC8, CDC23	anaphase-promoting complex subunit 8
ko:K03356	APC9	anaphase-promoting complex subunit 9
ko:K03357	APC10, ANAPC10, DOC1	anaphase-promoting complex subunit 10
ko:K03358	APC11, ANAPC11	anaphase-promoting complex subunit 11
ko:K03360	GRR1	F-box and leucine-rich repeat protein GRR1
ko:K03361,ko:K22071		
ko:K03363	CDC20	cell division cycle 20, cofactor of APC complex
ko:K03364	CDH1, FZR1	cell division cycle 20-like protein 1, cofactor of APC complex
ko:K03386	PRDX2_4, ahpC	peroxiredoxin 2/4 [EC:1.11.1.24]
ko:K03424	tatD	TatD DNase family protein [EC:3.1.21.-]
ko:K03426	E3.6.1.22, NUDT12, nudC	NAD+ diphosphatase [EC:3.6.1.22]
ko:K03434	PIGL	N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]
ko:K03439,ko:K17887		
ko:K03441	GLP-F	aquaglyceroporin related protein, other eukaryote
ko:K03448	FEN2, LIZ1	MFS transporter, ACS family, pantothenate transporter
ko:K03456	PPP2R1	serine/threonine-protein phosphatase 2A regulatory subunit A
ko:K03457	TC.NCS1	nucleobase:cation symporter-1, NCS1 family
ko:K03458	TC.NCS2	nucleobase:cation symporter-2, NCS2 family
ko:K03469	rnhA, RNASEH1	ribonuclease HI [EC:3.1.26.4]
ko:K03495,ko:K12479		
ko:K03504	POLD3	DNA polymerase delta subunit 3
ko:K03506	POLE4	DNA polymerase epsilon subunit 4 [EC:2.7.7.7]
ko:K03507	DPB11	DNA replication regulator DPB11
ko:K03507,ko:K15255		
ko:K03508	POLZ2, rev7	DNA polymerase zeta [EC:2.7.7.7]
ko:K03509	POLH	DNA polymerase eta [EC:2.7.7.7]
ko:K03512,ko:K10981		
ko:K03514,ko:K12596		
ko:K03515	REV1	DNA repair protein REV1 [EC:2.7.7.-]
ko:K03521	fixA, etfB	electron transfer flavoprotein beta subunit
ko:K03522	fixB, etfA	electron transfer flavoprotein alpha subunit
ko:K03537	POP5	ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]
ko:K03538	POP4, RPP29	ribonuclease P protein subunit POP4 [EC:3.1.26.5]
ko:K03539	RPP1, RPP30	ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]
ko:K03540	RPR2, RPP21	ribonuclease P protein subunit RPR2 [EC:3.1.26.5]
ko:K03544	clpX, CLPX	ATP-dependent Clp protease ATP-binding subunit ClpX
ko:K03549	kup	KUP system potassium uptake protein
ko:K03564	BCP, PRXQ, DOT5	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
ko:K03593	mrp, NUBPL	ATP-binding protein involved in chromosome partitioning
ko:K03626	EGD2, NACA	nascent polypeptide-associated complex subunit alpha
ko:K03627	MBF1	putative transcription factor
ko:K03644	lipA, LIAS, LIP1, LIP5	lipoyl synthase [EC:2.8.1.8]
ko:K03648	UNG, UDG	uracil-DNA glycosylase [EC:3.2.2.27]
ko:K03650	mnmE, trmE, MSS1	tRNA modification GTPase [EC:3.6.-.-]
ko:K03657	uvrD, pcrA	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
ko:K03660	OGG1	N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
ko:K03661	ATPeV0B, ATP6F	V-type H+-transporting ATPase 21kDa proteolipid subunit
ko:K03671	trxA	thioredoxin 1
ko:K03676	grxC, GLRX, GLRX2	glutaredoxin 3
ko:K03678	RRP45, EXOSC9	exosome complex component RRP45
ko:K03679	RRP4, EXOSC2	exosome complex component RRP4
ko:K03680	EIF2B4	translation initiation factor eIF-2B subunit delta
ko:K03681	RRP40, EXOSC3	exosome complex component RRP40
ko:K03685	rnc, DROSHA, RNT1	ribonuclease III [EC:3.1.26.3]
ko:K03686	dnaJ	molecular chaperone DnaJ
ko:K03687	GRPE	molecular chaperone GrpE
ko:K03695	clpB	ATP-dependent Clp protease ATP-binding subunit ClpB
ko:K03754	EIF2B2	translation initiation factor eIF-2B subunit beta
ko:K03768,ko:K03770		
ko:K03778	ldhA	D-lactate dehydrogenase [EC:1.1.1.28]
ko:K03781	katE, CAT, catB, srpA	catalase [EC:1.11.1.6]
ko:K03783	punA, PNP	purine-nucleoside phosphorylase [EC:2.4.2.1]
ko:K03800	lplA, lplJ, lipL1	lipoate---protein ligase [EC:6.3.1.20]
ko:K03801	lipB	lipoyl(octanoyl) transferase [EC:2.3.1.181]
ko:K03809	wrbA	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
ko:K03841	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
ko:K03842	ALG1	beta-1,4-mannosyltransferase [EC:2.4.1.142]
ko:K03843	ALG2	alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]
ko:K03844	ALG11	alpha-1,2-mannosyltransferase [EC:2.4.1.131]
ko:K03845	ALG3	alpha-1,3-mannosyltransferase [EC:2.4.1.258]
ko:K03846	ALG9	alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261]
ko:K03847	ALG12	alpha-1,6-mannosyltransferase [EC:2.4.1.260]
ko:K03848	ALG6	alpha-1,3-glucosyltransferase [EC:2.4.1.267]
ko:K03849	ALG8	alpha-1,3-glucosyltransferase [EC:2.4.1.265]
ko:K03850	ALG10	alpha-1,2-glucosyltransferase [EC:2.4.1.256]
ko:K03854	KTR	mannosyltransferase [EC:2.4.1.-]
ko:K03854,ko:K10967		
ko:K03857	PIGA, GPI3	phosphatidylinositol N-acetylglucosaminyltransferase subunit A [EC:2.4.1.198]
ko:K03858	PIGH, GPI15	phosphatidylinositol N-acetylglucosaminyltransferase subunit H
ko:K03860	PIGQ, GPI1	phosphatidylinositol N-acetylglucosaminyltransferase subunit Q
ko:K03861	PIGP, GPI19, DSCR5	phosphatidylinositol N-acetylglucosaminyltransferase subunit P
ko:K03868	RBX1, ROC1	E3 ubiquitin-protein ligase RBX1 [EC:2.3.2.32]
ko:K03869	CUL3	cullin 3
ko:K03872	ELOC, TCEB1	elongin-C
ko:K03885	ndh	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
ko:K03936	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2]
ko:K03955	NDUFAB1	NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein
ko:K03978	engB	GTP-binding protein
ko:K03979,ko:K10277		
ko:K04043	dnaK, HSPA9	molecular chaperone DnaK
ko:K04077	groEL, HSPD1	chaperonin GroEL [EC:5.6.1.7]
ko:K04078	groES, HSPE1	chaperonin GroES
ko:K04079	HSP90A, htpG	molecular chaperone HtpG
ko:K04082	hscB, HSCB, HSC20	molecular chaperone HscB
ko:K04091	ssuD, msuD	alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
ko:K04345	PKA	protein kinase A [EC:2.7.11.11]
ko:K04348	PPP3C, CNA	serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16]
ko:K04353,ko:K07836,ko:K07837		
ko:K04354	PPP2R2	serine/threonine-protein phosphatase 2A regulatory subunit B
ko:K04371	ERK, MAPK1_3	mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
ko:K04382	PPP2C	serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
ko:K04393	CDC42	cell division control protein 42
ko:K04409	PAK1	p21-activated kinase 1 [EC:2.7.11.1]
ko:K04441	P38	p38 MAP kinase [EC:2.7.11.24]
ko:K04450,ko:K09045		
ko:K04450,ko:K09047		
ko:K04459	DUSP, MKP	dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48]
ko:K04460	PPP5C	serine/threonine-protein phosphatase 5 [EC:3.1.3.16]
ko:K04464	MAPK7	mitogen-activated protein kinase 7 [EC:2.7.11.24]
ko:K04464,ko:K19847		
ko:K04482	RAD51	DNA repair protein RAD51
ko:K04486	E3.1.3.15B	histidinol-phosphatase (PHP family) [EC:3.1.3.15]
ko:K04487	iscS, NFS1	cysteine desulfurase [EC:2.8.1.7]
ko:K04499	RUVBL1, RVB1, INO80H	RuvB-like protein 1 [EC:5.6.2.4]
ko:K04508	TBL1	transducin (beta)-like 1
ko:K04513,ko:K07975		
ko:K04518	pheA2	prephenate dehydratase [EC:4.2.1.51]
ko:K04523	UBQLN, DSK2	ubiquilin
ko:K04532	NAE1, APPBP1	NEDD8-activating enzyme E1 regulatory subunit
ko:K04536	GNB1	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
ko:K04554	UBE2J2, NCUBE2, UBC6	ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]
ko:K04555	UBE2G2, UBC7	ubiquitin-conjugating enzyme E2 G2 [EC:2.3.2.23]
ko:K04563	CDC28, CDC2	cyclin-dependent kinase [EC:2.7.11.22]
ko:K04563,ko:K05916		
ko:K04564	SOD2	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
ko:K04565	SOD1	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
ko:K04567	KARS, lysS	lysyl-tRNA synthetase, class II [EC:6.1.1.6]
ko:K04569,ko:K07213		
ko:K04627	STE3	pheromone a factor receptor
ko:K04630,ko:K04640		
ko:K04630,ko:K04640,ko:K19860		
ko:K04646	CLTC	clathrin heavy chain
ko:K04648	DCTN1	dynactin 1
ko:K04649	HIP2, UBC1	ubiquitin-conjugating enzyme (huntingtin interacting protein 2) [EC:2.3.2.23]
ko:K04705	STAM	signal transducing adaptor molecule
ko:K04706,ko:K20304		
ko:K04709	LAG1, LAC1	very-long-chain ceramide synthase [EC:2.3.1.297]
ko:K04711	ACER3, YDC1	dihydroceramidase [EC:3.5.1.-]
ko:K04711,ko:K05848		
ko:K04712	DEGS	sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]
ko:K04713	SUR2	sphinganine C4-monooxygenase [EC:1.14.18.5]
ko:K04716	SGPP1	sphingosine-1-phosphate phosphatase 1 [EC:3.1.3.-]
ko:K04716,ko:K04717		
ko:K04718	SPHK	sphingosine kinase [EC:2.7.1.91]
ko:K04728	ATM, TEL1	serine-protein kinase ATM [EC:2.7.11.1]
ko:K04739	PRKAR	cAMP-dependent protein kinase regulator
ko:K04794	PTH2, PTRH2	peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]
ko:K04797	pfdA, PFDN5	prefoldin alpha subunit
ko:K04798	pfdB, PFDN6	prefoldin beta subunit
ko:K04799	FEN1, RAD2	flap endonuclease-1 [EC:3.1.-.-]
ko:K04802	PCNA	proliferating cell nuclear antigen
ko:K05012	CLCN3_4_5	chloride channel 3/4/5
ko:K05012,ko:K14798		
ko:K05236	COPA, RET1	coatomer subunit alpha
ko:K05275	E1.1.1.65	pyridoxine 4-dehydrogenase [EC:1.1.1.65]
ko:K05283	PIGW	glucosaminylphosphatidylinositol acyltransferase [EC:2.3.-.-]
ko:K05284	PIGM	GPI mannosyltransferase 1 subunit M [EC:2.4.1.-]
ko:K05285	PIGN	GPI ethanolamine phosphate transferase 1 [EC:2.7.-.-]
ko:K05286	PIGB	GPI mannosyltransferase 3 [EC:2.4.1.-]
ko:K05287	PIGF	GPI ethanolamine phosphate transferase 2/3 subunit F
ko:K05288	PIGO	GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-]
ko:K05289	GAA1	GPI-anchor transamidase subunit GAA1
ko:K05290	PIGK	GPI-anchor transamidase subunit K
ko:K05291	PIGS	GPI-anchor transamidase subunit S
ko:K05292	PIGT	GPI-anchor transamidase subunit T
ko:K05293	PIGU	GPI-anchor transamidase subunit U
ko:K05294	PGAP1	GPI inositol-deacylase [EC:3.-.-.-]
ko:K05302	SETD6	N-lysine methyltransferase SETD6 [EC:2.1.1.-]
ko:K05310	PIGG, GPI7	ethanolamine phosphate transferase 2 subunit G [EC:2.7.-.-]
ko:K05349,ko:K15564		
ko:K05355	hexPS, COQ1	hexaprenyl-diphosphate synthase [EC:2.5.1.82 2.5.1.83]
ko:K05389	KCNKF	potassium channel subfamily K, other eukaryote
ko:K05528	OCH1	alpha 1,6-mannosyltransferase [EC:2.4.1.232]
ko:K05528,ko:K05534		
ko:K05529	MNN9	mannan polymerase complexes MNN9 subunit [EC:2.4.1.232]
ko:K05530	VAN1	mannan polymerase I complex VAN1 subunit [EC:2.4.1.-]
ko:K05531	MNN10	mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]
ko:K05532	MNN11	mannan polymerase II complex MNN11 subunit [EC:2.4.1.-]
ko:K05533	ANP1	mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]
ko:K05535	MNN2	alpha 1,2-mannosyltransferase [EC:2.4.1.-]
ko:K05536	MNN5	alpha 1,2-mannosyltransferase [EC:2.4.1.-]
ko:K05537,ko:K10967		
ko:K05538	MNN1	alpha 1,3-mannosyltransferase [EC:2.4.1.-]
ko:K05538,ko:K10968		
ko:K05542	DUS1	tRNA-dihydrouridine synthase 1 [EC:1.3.1.88]
ko:K05543	DUS2	tRNA-dihydrouridine synthase 2 [EC:1.3.1.91]
ko:K05544	DUS3	tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]
ko:K05545	DUS4	tRNA-dihydrouridine synthase 4 [EC:1.3.1.90]
ko:K05546	GANAB	mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]
ko:K05605	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]
ko:K05609	UCHL3, YUH1	ubiquitin carboxyl-terminal hydrolase L3 [EC:3.4.19.12]
ko:K05610	UCHL5, UCH37	ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]
ko:K05658	ABCB1, CD243	ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]
ko:K05663		
ko:K05681	ABCG2, CD338	ATP-binding cassette, subfamily G (WHITE), member 2
ko:K05692	ACTB_G1	actin beta/gamma 1
ko:K05727	DOCK3	dedicator of cytokinesis protein 3
ko:K05740,ko:K11238,ko:K17971		
ko:K05747	WAS	Wiskott-Aldrich syndrome protein
ko:K05749	CYFIP	cytoplasmic FMR1 interacting protein
ko:K05754	ARPC5	actin related protein 2/3 complex, subunit 5
ko:K05755	ARPC4	actin related protein 2/3 complex, subunit 4
ko:K05756	ARPC3	actin related protein 2/3 complex, subunit 3
ko:K05757	ARPC1A_B	actin related protein 2/3 complex, subunit 1A/1B
ko:K05758	ARPC2	actin related protein 2/3 complex, subunit 2
ko:K05759	PFN	profilin
ko:K05765	CFL	cofilin
ko:K05767	IQGAP2_3	Ras GTPase-activating-like protein IQGAP2/3
ko:K05770	TSPO, BZRP	translocator protein
ko:K05821	ARO9	aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]
ko:K05824	LYS12	homoisocitrate dehydrogenase [EC:1.1.1.87]
ko:K05841	E2.4.1.173	sterol 3beta-glucosyltransferase [EC:2.4.1.173]
ko:K05857	PLCD	phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]
ko:K05863	SLC25A4S, ANT	solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31
ko:K05864	PPID, CYPD	peptidyl-prolyl isomerase D [EC:5.2.1.8]
ko:K05894	OPR	12-oxophytodienoic acid reductase [EC:1.3.1.42]
ko:K05917	CYP51	sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36]
ko:K05925	METTL3	mRNA m6A methyltransferase catalytic subunit [EC:2.1.1.348]
ko:K05954	FNTB	protein farnesyltransferase subunit beta [EC:2.5.1.58]
ko:K05955	FNTA	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]
ko:K05956	RABGGTB	geranylgeranyl transferase type-2 subunit beta [EC:2.5.1.60]
ko:K05994	E3.4.11.10	bacterial leucyl aminopeptidase [EC:3.4.11.10]
ko:K06005,ko:K06009		
ko:K06013	STE24	STE24 endopeptidase [EC:3.4.24.84]
ko:K06018	PPN1	endopolyphosphatase [EC:3.6.1.10]
ko:K06027	NSF, SEC18	vesicle-fusing ATPase [EC:3.6.4.6]
ko:K06030	MFN2, FZO1	mitofusin 2 [EC:3.6.5.-]
ko:K06035	DDI2_3	cyanamide hydratase [EC:4.2.1.69]
ko:K06062	PCAF, KAT2, GCN5	histone acetyltransferase [EC:2.3.1.48]
ko:K06063	SNW1, SKIIP, SKIP	SNW domain-containing protein 1
ko:K06067	HDAC1_2	histone deacetylase 1/2 [EC:3.5.1.98]
ko:K06072	DOHH	deoxyhypusine monooxygenase [EC:1.14.99.29]
ko:K06100	SYMPK	symplekin
ko:K06110	EXOC3, SEC6	exocyst complex component 3
ko:K06116	GPP	glycerol-1-phosphatase [EC:3.1.3.21]
ko:K06116,ko:K06117		
ko:K06123	AYR1	1-acylglycerone phosphate reductase [EC:1.1.1.101]
ko:K06125	COQ2	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
